productCode,manufacturerOfTradeItem
AA000900,Unknown
AA003350,Unknown
AA003600,Unknown
GAMB00001,Unknown
GAMB00002,Unknown
GAMB00003,Unknown
GAMB00004,Unknown
GAMB00005,Unknown
GAMB00006,Unknown
GAMB00007,Unknown
GAMB00008,Unknown
GAMB00009,Unknown
GAMB00010,Unknown
GAMB00011,Unknown
GAMB00012,Unknown
GAMB00013,Unknown
GAMB00014,Unknown
GAMB00015,Unknown
GAMB00016,Unknown
GAMB00017,Unknown
GAMB00018,Unknown
GAMB00019,Unknown
GAMB00020,Unknown
GAMB00021,Unknown
GAMB00022,Unknown
GAMB00023,Unknown
GAMB00024,Unknown
GAMB00025,Unknown
GAMB00026,Unknown
GAMB00027,Unknown
GAMB00028,Unknown
GAMB00029,Unknown
GAMB00030,Unknown
GAMB00031,Unknown
GAMB00032,Unknown
GAMB00033,Unknown
GAMB00034,Unknown
GAMB00035,Unknown
GAMB00036,Unknown
GAMB00037,Unknown
GAMB00038,Unknown
GAMB00039,Unknown
GAMB00040,Unknown
GAMB00041,Unknown
GAMB00042,Unknown
GAMB00043,Unknown
GAMB00044,Unknown
GAMB00045,Unknown
GAMB00046,Unknown
GAMB00047,Unknown
GAMB00048,Unknown
GAMB00049,Unknown
GAMB00050,Unknown
GAMB00051,Unknown
GAMB00052,Unknown
GAMB00053,Unknown
GAMB00054,Unknown
GAMB00055,Unknown
GAMB00056,Unknown
GAMB00057,Unknown
GAMB00058,Unknown
GAMB00059,Unknown
GAMB00060,Unknown
GAMB00061,Unknown
GAMB00062,Unknown
GAMB00063,Unknown
GAMB00064,Unknown
GAMB00065,Unknown
GAMB00066,Unknown
GAMB00067,Unknown
GAMB00068,Unknown
GAMB00069,Unknown
GAMB00070,Unknown
GAMB00071,Unknown
GAMB00072,Unknown
GAMB00073,Unknown
GAMB00074,Unknown
GAMB00075,Unknown
GAMB00076,Unknown
GAMB00077,Unknown
GAMB00078,Unknown
GAMB00079,Unknown
GAMB00080,Unknown
GAMB00081,Unknown
GAMB00082,Unknown
GAMB00083,Unknown
GAMB00084,Unknown
GAMB00085,Unknown
GAMB00086,Unknown
GAMB00087,Unknown
GAMB00088,Unknown
GAMB00089,Unknown
GAMB00090,Unknown
GAMB00091,Unknown
GAMB00092,Unknown
GAMB00093,Unknown
GAMB00094,Unknown
GAMB00095,Unknown
GAMB00096,Unknown
GAMB00097,Unknown
GAMB00098,Unknown
GAMB00099,Unknown
GAMB00100,Unknown
GAMB00101,Unknown
GAMB00102,Unknown
GAMB00103,Unknown
GAMB00104,Unknown
GAMB00105,Unknown
GAMB00106,Unknown
GAMB00107,Unknown
GAMB00108,Unknown
GAMB00109,Unknown
GAMB00110,Unknown
GAMB00111,Unknown
GAMB00112,Unknown
GAMB00113,Unknown
GAMB00114,Unknown
GAMB00115,Unknown
GAMB00116,Unknown
GAMB00117,Unknown
GAMB00118,Unknown
GAMB00119,Unknown
GAMB00120,Unknown
GAMB00121,Unknown
GAMB00122,Unknown
GAMB00123,Unknown
GAMB00124,Unknown
GAMB00125,Unknown
GAMB00126,Unknown
GAMB00127,Unknown
GAMB00128,Unknown
GAMB00129,Unknown
GAMB00130,Unknown
GAMB00131,Unknown
GAMB00132,Unknown
GAMB00133,Unknown
GAMB00134,Unknown
GAMB00135,Unknown
GAMB00136,Unknown
GAMB00137,Unknown
GAMB00138,Unknown
GAMB00139,Unknown
GAMB00140,Unknown
GAMB00141,Unknown
GAMB00142,Unknown
GAMB00143,Unknown
GAMB00144,Unknown
GAMB00145,Unknown
GAMB00146,Unknown
GAMB00147,Unknown
GAMB00148,Unknown
GAMB00149,Unknown
GAMB00150,Unknown
GAMB00151,Unknown
GAMB00152,Unknown
GAMB00153,Unknown
GAMB00154,Unknown
GAMB00155,Unknown
GAMB00156,Unknown
GAMB00157,Unknown
GAMB00158,Unknown
GAMB00159,Unknown
GAMB00160,Unknown
GAMB00161,Unknown
GAMB00162,Unknown
GAMB00163,Unknown
GAMB00164,Unknown
GAMB00165,Unknown
GAMB00166,Unknown
GAMB00167,Unknown
GAMB00168,Unknown
GAMB00169,Unknown
GAMB00170,Unknown
GAMB00171,Unknown
GAMB00172,Unknown
GAMB00173,Unknown
GAMB00174,Unknown
GAMB00175,Unknown
GAMB00176,Unknown
GAMB00177,Unknown
GAMB00178,Unknown
GAMB00179,Unknown
GAMB00180,Unknown
GAMB00181,Unknown
GAMB00182,Unknown
GAMB00183,Unknown
GAMB00184,Unknown
GAMB00185,Unknown
GAMB00186,Unknown
GAMB00187,Unknown
GAMB00188,Unknown
GAMB00189,Unknown
GAMB00190,Unknown
GAMB00191,Unknown
GAMB00192,Unknown
GAMB00193,Unknown
GAMB00194,Unknown
GAMB00195,Unknown
GAMB00196,Unknown
GAMB00197,Unknown
GAMB00198,Unknown
GAMB00199,Unknown
GAMB00200,Unknown
GAMB00201,Unknown
GAMB00202,Unknown
GAMB00203,Unknown
GAMB00204,Unknown
GAMB00205,Unknown
GAMB00206,Unknown
GAMB00207,Unknown
GAMB00208,Unknown
GAMB00209,Unknown
GAMB00210,Unknown
GAMB00211,Unknown
GAMB00212,Unknown
GAMB00213,Unknown
GAMB00214,Unknown
GAMB00215,Unknown
GAMB00216,Unknown
GAMB00217,Unknown
GAMB00218,Unknown
GAMB00219,Unknown
GAMB00220,Unknown
GAMB00221,Unknown
GAMB00222,Unknown
GAMB00223,Unknown
GAMB00224,Unknown
GAMB00225,Unknown
GAMB00226,Unknown
GAMB00227,Unknown
GAMB00228,Unknown
GAMB00229,Unknown
GAMB00230,Unknown
GAMB00231,Unknown
GAMB00232,Unknown
GAMB00233,Unknown
GAMB00234,Unknown
GAMB00235,Unknown
GAMB00236,Unknown
GAMB00237,Unknown
GAMB00238,Unknown
GAMB00239,Unknown
GAMB00240,Unknown
GAMB00241,Unknown
GAMB00242,Unknown
GAMB00243,Unknown
GAMB00244,Unknown
GAMB00245,Unknown
GAMB00246,Unknown
GAMB00247,Unknown
GAMB00248,Unknown
GAMB00249,Unknown
GAMB00250,Unknown
GAMB00251,Unknown
GAMB00252,Unknown
GAMB00253,Unknown
GAMB00254,Unknown
GAMB00255,Unknown
GAMB00256,Unknown
GAMB00257,Unknown
GAMB00258,Unknown
GAMB00259,Unknown
GAMB00260,Unknown
GAMB00261,Unknown
GAMB00262,Unknown
GAMB00263,Unknown
GAMB00264,Unknown
GAMB00265,Unknown
GAMB00266,Unknown
GAMB00267,Unknown
GAMB00268,Unknown
GAMB00269,Unknown
GAMB00270,Unknown
GAMB00271,Unknown
GAMB00272,Unknown
GAMB00273,Unknown
GAMB00274,Unknown
GAMB00275,Unknown
GAMB00276,Unknown
GAMB00277,Unknown
GAMB00278,Unknown
GAMB00279,Unknown
GAMB00280,Unknown
GAMB00281,Unknown
GAMB00282,Unknown
GAMB00283,Unknown
GAMB00284,Unknown
GAMB00285,Unknown
GAMB00286,Unknown
GAMB00287,Unknown
GAMB00288,Unknown
GAMB00289,Unknown
GAMB00290,Unknown
GAMB00291,Unknown
GAMB00292,Unknown
GAMB00293,Unknown
GAMB00294,Unknown
GAMB00295,Unknown
GAMB00296,Unknown
GAMB00297,Unknown
GAMB00298,Unknown
GAMB00299,Unknown
GAMB00300,Unknown
GAMB00301,Unknown
GAMB00302,Unknown
GAMB00303,Unknown
GAMB00304,Unknown
GAMB00305,Unknown
GAMB00306,Unknown
GAMB00307,Unknown
GAMB00308,Unknown
GAMB00309,Unknown
GAMB00310,Unknown
GAMB00311,Unknown
GAMB00312,Unknown
GAMB00313,Unknown
GAMB00314,Unknown
GAMB00315,Unknown
GAMB00316,Unknown
GAMB00317,Unknown
GAMB00318,Unknown
GAMB00319,Unknown
GAMB00320,Unknown
GAMB00321,Unknown
GAMB00322,Unknown
GAMB00323,Unknown
GAMB00324,Unknown
GAMB00325,Unknown
GAMB00326,Unknown
GAMB00327,Unknown
GAMB00328,Unknown
GAMB00329,Unknown
GAMB00330,Unknown
GAMB00331,Unknown
GAMB00332,Unknown
GAMB00333,Unknown
GAMB00334,Unknown
GAMB00335,Unknown
GAMB00336,Unknown
GAMB00337,Unknown
GAMB00338,Unknown
GAMB00339,Unknown
GAMB00340,Unknown
GAMB00341,Unknown
GAMB00342,Unknown
GAMB00343,Unknown
GAMB00344,Unknown
GAMB00345,Unknown
GAMB00346,Unknown
GAMB00347,Unknown
GAMB00348,Unknown
GAMB00349,Unknown
GAMB00350,Unknown
GAMB00351,Unknown
GAMB00352,Unknown
GAMB00353,Unknown
GAMB00354,Unknown
GAMB00355,Unknown
GAMB00356,Unknown
GAMB00357,Unknown
GAMB00358,Unknown
GAMB00359,Unknown
GAMB00360,Unknown
GAMB00361,Unknown
GAMB00362,Unknown
GAMB00363,Unknown
GAMB00364,Unknown
GAMB00365,Unknown
GAMB00366,Unknown
GAMB00367,Unknown
GAMB00368,Unknown
GAMB00369,Unknown
GAMB00370,Unknown
GAMB00371,Unknown
GAMB00372,Unknown
GAMB00373,Unknown
GAMB00374,Unknown
GAMB00375,Unknown
GAMB00376,Unknown
GAMB00377,Unknown
GAMB00378,Unknown
GAMB00379,Unknown
GAMB00380,Unknown
GAMB00381,Unknown
GAMB00382,Unknown
GAMB00383,Unknown
GAMB00384,Unknown
GAMB00385,Unknown
GAMB00386,Unknown
GAMB00387,Unknown
GAMB00388,Unknown
GAMB00389,Unknown
GAMB00390,Unknown
GAMB00391,Unknown
GAMB00392,Unknown
GAMB00393,Unknown
GAMB00394,Unknown
GAMB00395,Unknown
GAMB00396,Unknown
GAMB00397,Unknown
GAMB00398,Unknown
GAMB00399,Unknown
GAMB00400,Unknown
GAMB00401,Unknown
GAMB00402,Unknown
GAMB00403,Unknown
GAMB00404,Unknown
GAMB00405,Unknown
GAMB00406,Unknown
GAMB00407,Unknown
GAMB00408,Unknown
GAMB00409,Unknown
GAMB00410,Unknown
GAMB00411,Unknown
GAMB00412,Unknown
GAMB00413,Unknown
GAMB00414,Unknown
GAMB00415,Unknown
GAMB00416,Unknown
GAMB00417,Unknown
GAMB00418,Unknown
GAMB00419,Unknown
GAMB00420,Unknown
GAMB00421,Unknown
GAMB00422,Unknown
GAMB00423,Unknown
GAMB00424,Unknown
GAMB00425,Unknown
GAMB00426,Unknown
GAMB00427,Unknown
GAMB00428,Unknown
GAMB00429,Unknown
GAMB00430,Unknown
GAMB00431,Unknown
GAMB00432,Unknown
GAMB00433,Unknown
GAMB00434,Unknown
GAMB00435,Unknown
GAMB00436,Unknown
GAMB00437,Unknown
GAMB00438,Unknown
GAMB00439,Unknown
GAMB00440,Unknown
GAMB00441,Unknown
GAMB00442,Unknown
GAMB00443,Unknown
GAMB00444,Unknown
GAMB00445,Unknown
GAMB00446,Unknown
GAMB00447,Unknown
GAMB00448,Unknown
GAMB00449,Unknown
GAMB00450,Unknown
GAMB00451,Unknown
GAMB00452,Unknown
GAMB00453,Unknown
GAMB00454,Unknown
GAMB00455,Unknown
GAMB00456,Unknown
GAMB00457,Unknown
GAMB00458,Unknown
GAMB00459,Unknown
GAMB00460,Unknown
GAMB00461,Unknown
GAMB00462,Unknown
GAMB00463,Unknown
GAMB00464,Unknown
GAMB00465,Unknown
GAMB00466,Unknown
GAMB00467,Unknown
GAMB00468,Unknown
GAMB00469,Unknown
GAMB00470,Unknown
GAMB00471,Unknown
GAMB00472,Unknown
GAMB00473,Unknown
GAMB00474,Unknown
GAMB00475,Unknown
